,date,close_000166.XSHE,close_000416.XSHE,close_000563.XSHE,close_000567.XSHE,close_000617.XSHE,close_000627.XSHE,close_000686.XSHE,close_000712.XSHE,close_000728.XSHE
84,2017-05-11,5.32,8.63,4.92,24.28,15.28,6.98,9.42,14.51,11.33
85,2017-05-12,5.41,8.45,4.95,24.14,15.38,7.68,9.58,15.08,11.47
86,2017-05-15,5.39,8.08,4.88,24.32,16.02,7.61,9.53,14.81,11.48
87,2017-05-16,5.41,8.15,4.97,25.04,16.04,7.62,9.63,15.06,11.63
88,2017-05-17,5.42,8.14,4.98,24.9,16.18,7.46,9.67,15.11,11.72
89,2017-05-18,5.35,8.08,4.94,24.5,16.04,7.28,9.47,14.85,11.63
90,2017-05-19,5.33,8.18,4.91,23.97,15.86,7.24,9.34,15.06,11.56
91,2017-05-22,5.28,7.96,4.79,23.14,15.81,7.32,9.11,14.53,11.2
92,2017-05-23,5.3,7.53,4.33,22.0,14.97,7.38,9.04,14.28,10.47
93,2017-05-24,5.31,7.48,4.43,22.02,14.69,7.06,9.08,14.71,10.67
94,2017-05-25,5.48,7.53,4.56,22.06,15.0,7.19,9.51,15.32,11.74
95,2017-05-26,5.47,7.59,4.55,22.1,14.88,7.16,9.43,15.01,11.99
96,2017-05-31,5.53,7.69,4.62,22.1,14.62,6.98,9.46,15.11,11.83
97,2017-06-01,5.49,7.59,4.43,22.0,14.51,6.76,9.33,14.56,11.98
98,2017-06-02,5.48,7.6,4.56,22.18,14.29,6.86,9.39,14.87,11.96
99,2017-06-05,5.49,7.67,4.59,22.18,14.35,6.99,9.38,15.0,12.04
100,2017-06-06,5.52,7.76,4.62,22.28,14.24,6.96,9.48,15.1,12.13
101,2017-06-07,5.55,7.93,4.71,22.96,14.67,7.04,9.61,15.33,12.37
102,2017-06-08,5.53,7.88,4.71,24.2,14.46,7.14,9.57,15.32,12.29
103,2017-06-09,5.55,8.09,4.67,24.3,14.45,7.17,9.55,15.32,12.13
104,2017-06-12,5.45,7.95,4.64,23.5,14.14,7.17,9.33,15.71,11.86
105,2017-06-13,5.5,8.02,4.7,24.0,14.34,7.18,9.49,16.23,12.1
106,2017-06-14,5.51,8.08,4.66,24.26,14.71,7.04,9.51,16.73,12.0
107,2017-06-15,5.52,8.15,4.76,24.75,14.75,7.03,9.65,16.56,12.21
108,2017-06-16,5.46,8.22,4.75,24.8,14.7,7.05,9.6,16.65,12.3
109,2017-06-19,5.53,8.2,4.81,24.84,14.97,7.13,9.84,16.45,12.58
110,2017-06-20,5.51,8.16,4.81,25.01,14.88,7.13,9.78,16.52,12.44
111,2017-06-21,5.52,8.06,4.81,25.02,15.26,7.28,9.73,16.46,12.45
112,2017-06-22,5.52,7.99,4.81,24.46,15.53,7.58,9.72,16.4,12.43
113,2017-06-23,5.49,7.83,4.81,23.98,15.22,8.28,9.78,16.15,12.31
114,2017-06-26,5.56,7.96,4.81,26.38,15.23,8.16,9.9,16.51,12.57
115,2017-06-27,5.55,7.96,5.02,27.03,15.14,8.11,9.88,16.56,12.5
116,2017-06-28,5.52,7.93,5.09,27.08,14.81,7.92,9.82,16.3,12.27
117,2017-06-29,5.51,7.9,5.02,26.95,14.84,8.01,9.82,16.32,12.18
118,2017-06-30,5.53,7.93,4.97,26.18,15.28,8.03,9.81,16.09,11.97
119,2017-07-03,5.56,8.06,5.02,26.52,15.25,8.02,9.77,16.22,11.98
120,2017-07-04,5.55,8.06,4.96,26.1,15.22,7.79,9.63,16.04,11.83
